registro_crc,uf_crc,nome_contador,cpf_contador
SP-126225/O,SP,Elisa Cavalcanti Lopes,386.922.219-02
BA-356787/O,BA,Diego Freitas Gomes,518.506.716-05
MG-246316/O,MG,Fernanda Cardoso Nascimento,278.742.967-02
SP-809570/O,SP,Larissa Moreira Marques,690.967.054-08
GO-191161/O,GO,Gisele Souza Carvalho,623.166.587-92
PE-542417/O,PE,João Marques Menezes,332.003.791-97
DF-131244/O,DF,Sofia Lopes Moraes,812.191.361-66
SP-329258/O,SP,Caio Ferreira Dias,262.174.596-20
MG-629903/O,MG,Ingrid Soares Gonçalves,845.146.270-70
PE-127824/O,PE,Thiago Machado Oliveira,104.332.181-00
GO-308496/O,GO,Rafaela Rodrigues Mendes,338.726.247-76
GO-539898/O,GO,Rafaela Costa Ribeiro,533.158.692-94
MG-571029/O,MG,Igor Vieira Mendes,859.770.348-22
PE-391704/O,PE,Sergio Oliveira Alves,868.501.429-84
DF-895667/O,DF,Helena Freitas Andrade,368.516.048-68
