cpf_mae,cpf_filho
133.890.838-39,709.521.456-50
133.890.838-39,240.084.271-04
133.890.838-39,917.839.084-24
969.653.287-38,831.727.889-11
284.987.769-70,299.124.190-06
606.474.687-43,868.501.429-84
533.158.692-94,893.734.670-26
533.158.692-94,229.413.186-07
533.158.692-94,417.080.531-31
588.424.745-17,680.443.699-70
229.413.186-07,868.501.429-84
229.413.186-07,518.506.716-05
623.166.587-92,831.727.889-11
172.400.504-91,319.314.919-50
080.132.677-09,989.413.435-18
080.132.677-09,278.742.967-02
080.132.677-09,533.158.692-94
422.842.102-44,989.413.435-18
