registro_crc,cnpj_empresa,data_inicio_prestacao
MG-571029/O,10.433.218/0001-93,2016-10-15
GO-539898/O,13.389.083/0001-02,2019-09-28
PE-542417/O,94.026.542/0001-87,2018-02-12
MG-246316/O,15.594.078/0001-59,2017-05-31
DF-131244/O,95.931.034/0001-06,2018-10-10
BA-356787/O,75.255.341/0001-07,2016-01-15
DF-131244/O,27.648.350/0001-15,2016-02-01
PE-542417/O,13.953.767/0001-87,2018-11-09
PE-127824/O,88.496.965/0001-68,2017-12-19
MG-571029/O,01.226.916/0001-27,2015-06-27
DF-131244/O,80.184.514/0001-83,2020-02-25
MG-629903/O,48.281.489/0001-43,2016-05-26
DF-895667/O,88.095.701/0001-00,2019-03-31
DF-131244/O,39.117.182/0001-10,2021-03-11
GO-191161/O,89.638.346/0001-23,2022-01-18
PE-127824/O,71.331.509/0001-65,2019-01-21
PE-127824/O,10.310.518/0001-85,2017-02-26
GO-539898/O,29.973.763/0001-09,2015-10-12
SP-126225/O,67.010.651/0001-33,2022-06-01
SP-809570/O,26.247.317/0001-10,2023-09-02
GO-191161/O,80.132.677/0001-12,2015-11-23
PE-391704/O,06.474.687/0001-83,2017-08-11
DF-131244/O,09.805.009/0001-44,2016-02-18
DF-131244/O,81.219.136/0001-99,2018-02-12
DF-131244/O,09.169.985/0001-58,2022-02-16
PE-391704/O,53.462.475/0001-66,2019-02-03
MG-246316/O,91.183.842/0001-81,2019-02-25
PE-542417/O,54.278.498/0001-88,2017-05-08
GO-308496/O,12.411.824/0001-33,2017-12-29
DF-131244/O,34.874.016/0001-45,2022-08-31
GO-308496/O,24.278.680/0001-78,2015-10-20
PE-127824/O,59.826.204/0001-29,2022-02-13
MG-246316/O,31.586.923/0001-09,2020-12-27
GO-539898/O,02.563.421/0001-56,2017-09-29
MG-246316/O,75.433.036/0001-68,2020-03-08
DF-131244/O,45.868.501/0001-22,2018-01-10
DF-895667/O,40.196.556/0001-10,2022-03-06
GO-539898/O,93.406.088/0001-27,2021-03-31
DF-131244/O,59.514.846/0001-92,2022-09-05
PE-542417/O,36.629.946/0001-69,2023-08-14
MG-571029/O,69.957.773/0001-67,2015-08-18
SP-809570/O,48.951.343/0001-68,2015-05-12
MG-571029/O,37.917.693/0001-91,2018-07-16
DF-131244/O,20.163.287/0001-88,2018-01-01
BA-356787/O,17.278.895/0001-23,2017-05-14
DF-895667/O,86.872.774/0001-28,2021-05-12
DF-895667/O,87.347.143/0001-52,2023-01-19
PE-542417/O,12.236.231/0001-88,2017-05-20
GO-308496/O,60.366.909/0001-90,2020-08-06
DF-131244/O,46.688.937/0001-00,2022-03-18
