codigo_orgao,cpf_pregoeiro,data_designacao,portaria_designacao
ORG-001,687.277.434-70,2024-05-12,Portaria nº 907/2024
ORG-002,831.727.889-11,2020-05-20,Portaria nº 681/2020
ORG-002,965.137.098-06,2023-08-07,Portaria nº 415/2023
ORG-003,269.166.978-57,2019-08-09,Portaria nº 281/2019
ORG-003,334.123.281-89,2019-07-26,Portaria nº 262/2019
ORG-004,309.232.719-53,2024-07-22,Portaria nº 448/2024
ORG-004,133.890.838-39,2024-07-18,Portaria nº 418/2024
ORG-005,278.742.967-02,2020-06-17,Portaria nº 151/2020
ORG-005,930.103.105-10,2023-09-19,Portaria nº 515/2023
ORG-006,753.396.360-11,2018-07-12,Portaria nº 891/2018
ORG-007,859.770.348-22,2019-09-19,Portaria nº 652/2019
ORG-008,845.146.270-70,2022-09-26,Portaria nº 620/2022
ORG-009,473.799.650-50,2022-04-26,Portaria nº 400/2022
ORG-010,354.549.480-20,2023-12-08,Portaria nº 267/2023
ORG-010,154.516.808-33,2024-03-16,Portaria nº 891/2024
ORG-011,690.967.054-08,2019-04-15,Portaria nº 708/2019
ORG-012,204.653.755-61,2021-10-25,Portaria nº 124/2021
ORG-012,746.120.047-01,2021-04-17,Portaria nº 455/2021
ORG-013,639.821.465-00,2023-02-02,Portaria nº 13/2023
ORG-014,680.443.699-70,2023-08-13,Portaria nº 790/2023
ORG-014,533.158.692-94,2020-01-02,Portaria nº 529/2020
ORG-015,098.050.097-42,2021-05-07,Portaria nº 871/2021
ORG-016,754.330.365-53,2019-09-19,Portaria nº 392/2019
ORG-017,293.183.933-77,2024-01-19,Portaria nº 986/2024
ORG-018,262.174.596-20,2024-09-19,Portaria nº 341/2024
ORG-019,417.080.531-31,2018-03-21,Portaria nº 124/2018
ORG-019,386.922.219-02,2022-01-26,Portaria nº 909/2022
ORG-020,980.841.241-61,2020-09-07,Portaria nº 69/2020
ORG-020,439.533.942-58,2020-09-13,Portaria nº 909/2020
