cnpj_empresa,cpf_socio,qualificacao_socio,percentual_participacao,data_entrada_sociedade
10.433.218/0001-93,338.726.247-76,Sócio,68.92,2015-01-03
10.433.218/0001-93,931.034.131-90,Sócio-Administrador,57.24,2022-03-26
10.433.218/0001-93,729.806.990-04,Sócio-Administrador,17.5,2010-09-18
10.433.218/0001-93,676.320.163-09,Sócio-Administrador,54.9,2015-03-21
13.389.083/0001-02,024.026.811-36,Sócio-Gerente,74.75,2023-03-21
13.389.083/0001-02,109.324.808-45,Sócio,65.85,2010-02-23
13.389.083/0001-02,465.648.236-65,Sócio-Gerente,22.44,2017-08-19
13.389.083/0001-02,657.809.134-39,Sócio-Administrador,17.42,2017-07-20
94.026.542/0001-87,775.204.711-28,Sócio-Gerente,74.57,2023-07-17
94.026.542/0001-87,240.084.271-04,Sócio-Administrador,87.85,2020-04-21
15.594.078/0001-59,822.782.489-79,Sócio-Gerente,56.19,2023-11-15
15.594.078/0001-59,917.839.084-24,Sócio-Administrador,62.9,2011-07-24
15.594.078/0001-59,319.314.919-50,Sócio-Administrador,78.43,2016-06-28
95.931.034/0001-06,974.034.471-23,Sócio-Gerente,23.01,2020-03-03
95.931.034/0001-06,729.806.990-04,Sócio,63.61,2017-12-20
75.255.341/0001-07,701.543.039-84,Diretor,40.36,2013-08-31
75.255.341/0001-07,493.534.874-71,Sócio,64.77,2022-06-29
75.255.341/0001-07,422.842.102-44,Sócio,75.74,2011-04-04
75.255.341/0001-07,676.320.163-09,Diretor,31.42,2017-01-28
27.648.350/0001-15,678.377.701-45,Diretor,80.77,2021-03-13
27.648.350/0001-15,883.561.595-04,Sócio,31.19,2020-04-16
13.953.767/0001-87,422.842.102-44,Diretor,81.83,2023-02-10
13.953.767/0001-87,623.166.587-92,Sócio-Gerente,27.55,2018-12-16
88.496.965/0001-68,267.586.926-04,Sócio-Administrador,78.89,2012-01-15
88.496.965/0001-68,588.424.745-17,Sócio,73.37,2013-06-06
01.226.916/0001-27,814.893.252-20,Diretor,52.33,2023-05-14
